MARKET_CODE,SYMBOL_CODE,SYMBOL_NAME,SETTLEMENT_TYPE,ORDER_REJECT_UPPER_PRICE,ORDER_REJECT_LOWER_PRICE,LAST_DAY_CLOSE_PRICE
 
'REG','UBLISFO','UBL Islamic Sovereign Fund','READY',110.3415,99.8327,105.0871
'REG','CTM','Colony Textile Mills Ltd.','READY',6.86,4.86,5.86
'REG','AVN','Avanceon Limited.','READY',59.4405,53.7795,56.61
'REG','HASCOL','Hascol Petroleum Ltd.','READY',337.3965,305.2635,321.33
'REG','EFERT','Engro Fertilizers Limited.','READY',72.786,65.854,69.32
'REG','PIBTL','Pakistan Intl. Bulk Terminal Ltd.','READY',30.8385,27.9015,29.37
'REG','SPWL','Saif Power Ltd.','READY',32.5185,29.4215,30.97
'REG','UBLSIFO','UBL Saving Income Fund','READY',109.4736,99.0476,104.2606
'REG','UBLGSFO','UBL Government Securities Fund','READY',114.1131,103.2451,108.6791
'REG','TBIL00010007','TBILL00010007','READY',2,.01,1
'REG','TBIL00080015','TBILL00080015','READY',2,.01,1
'REG','TBIL00160030','TBILL00160030','READY',2,.01,1
'REG','TBIL00310060','TBILL00310060','READY',2,.01,1
'REG','TBIL00610090','TBILL00610090','READY',2,.01,1
'REG','TBIL00910120','TBILL00910120','READY',2,.01,1
'REG','TBIL01210180','TBILL01210180','READY',2,.01,1
'REG','TBIL01810270','TBILL01810270','READY',2,.01,1
'REG','TBIL02710365','TBILL02710365','READY',2,.01,1
'REG','AKZO','Akzo Nobel Pakistan Limited.','READY',272.8005,246.8195,259.81
'REG','PICICCFO','PICIC Cash Fund','READY',109.5822,99.1458,104.364
'REG','GGGL','Ghani Global Glass Limited.','READY',27.0585,24.4815,25.77
'REG','ASC','Al-Shaheer Corporation.','READY',48.3,43.7,46
'REG','MUGHAL','Mughal Iron & Steels Ind Ltd.','READY',136.9305,123.8895,130.41
'REG','ASLCPS','Aisha Steel Mills Convertible Cumulative','READY',46.0215,41.6385,43.83
'REG','LPCL','Lafarge Pakistan Cement Limited.','READY',22.26,20.14,21.2
'REG','HTL','Hi-Tech Lubricants Limited(XD)','READY',119.448,108.072,113.76
'REG','DOLCPS','Descon Oxychem Ltd 12% Non Voting','READY',15,13,14
'REG','TPLPL','TPL Properties Limited','READY',11.4,9.4,10.4
'REG','ECOP','ECOPAK Limited.','READY',27.993,25.327,26.66
'REG','SPL','Sitara Peroxide Limited','READY',28.6545,25.9255,27.29
'REG','SFL','Sapphire Fibres Mills Ltd.','READY',1047.4275,947.6725,997.55
'REG','MSCL','Metropolitan Steel Corporation','READY',19.65,17.65,18.65
'REG','PASM','Paramount Spinning Mills.','READY',3.02,1.02,2.02
'REG','SMCPL','Safe Mix Concrete Ltd.','READY',13,11,12
'REG','TSPL','Tri -Star Power Ltd.','READY',10.1,8.1,9.1
'REG','JVDCPS','Javedan Corporation Ltd-Non Voting','READY',26.25,23.75,25
'REG','BHAT','Bhanero Textile Mills Ltd.','READY',892.5,807.5,850
'REG','BIPLS','BIPL Securities Ltd.','READY',14.79,12.79,13.79
'REG','LUCK','Lucky Cement Limited.','READY',914.4345,827.3455,870.89
'REG','FFLNV','Fauji Foods Non Voting.','READY',119.5215,108.1385,113.83
'REG','BNWM','Bannu Woollen Mills Limited.','READY',77.7,70.3,74
'REG','TELE','Telecard Ltd.','READY',5.36,3.36,4.36
'REG','NPL','Nishat Power Limited.','READY',56.952,51.528,54.24
'REG','ISL','International Steels Limited.','READY',140.2905,126.9295,133.61
'REG','MDTL','Media Times Limited.','READY',5.34,3.34,4.34
'REG','FPRM','First Paramount Mod.','READY',10.35,8.35,9.35
'REG','SEPL','Security Papers Ltd.','READY',159.2115,144.0485,151.63
'REG','AGL','Agritech Limited','READY',13.5,11.5,12.5
'REG','AMTEX','Amtex Limited.','READY',3.99,1.99,2.99
'REG','ISIL','Ismail Industries Ltd.','READY',357,323,340
'REG','LOTCHEM','Lotte Chemical Pakistan Ltd.','READY',13.26,11.26,12.26
'REG','FPJM','First Punjab Mod.','READY',8.75,6.75,7.75
'REG','POL','Pakistan Oilfields Limited.(XD)','READY',502.7925,454.9075,478.85
'REG','IDYM','Indus Dyeing & Manufacturing.','READY',841.638,761.482,801.56
'REG','SYS','Systems Limited.','READY',96.5895,87.3905,91.99
'REG','PKGP','Pakgen Power Limited.','READY',24.4545,22.1255,23.29
'REG','KASBCFO','KASB Cash Fund','READY',110.7391,100.1925,105.4658
'REG','SLCL','Security Leasing Corp.','READY',7.19,5.19,6.19
'REG','JSCFO','JS Cash Fund','READY',111.972,101.308,106.64
'REG','MCFO','Meezan Cash Fund','READY',55.0642,49.82,52.4421
'REG','MCBCMO','MCB Cash Managment Optimizer Fund','READY',110.5705,100.0399,105.3052
'REG','PACMF','Pakistan Cash Managment Fund','READY',55.7169,50.4105,53.0637
'REG','AGIC','Askari Gen Insurance Co.','READY',39.648,35.872,37.76
